入选资产,动量_代码159532,动量_代码159952,动量_代码510310,动量_代码510500,动量_代码511880,动量_代码513180,动量_代码518880,动量_代码520550,动量_代码563020,日期,权重_代码159532,权重_代码159952,权重_代码510310,权重_代码510500,权重_代码511880,权重_代码513180,权重_代码518880,权重_代码520550,权重_代码563020
[],,,,,,,,,2013-04-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
["代码510500","代码510310"],,,0.0556768559,0.0952883263,,,,,2013-05-17 00:00:00,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
